year,location_abbr,location,obesity_rate,pct_change
2015,IN,Indiana,31.3,-0.042813455657492394
2015,IA,Iowa,32.1,0.03883495145631066
2015,KS,Kansas,34.2,0.09265175718849838
2015,KY,Kentucky,34.6,0.09493670886075956
2015,LA,Louisiana,36.2,0.037249283667621924
2015,ME,Maine,30.0,0.06382978723404253
2015,MD,Maryland,28.9,-0.023648648648648796
2015,MA,Massachusetts,24.3,0.0429184549356223
2015,MI,Michigan,31.2,0.016286644951140072
2015,MN,Minnesota,26.1,-0.05434782608695654
2015,MS,Mississippi,35.6,0.0028169014084507005
2015,MO,Missouri,32.4,0.07284768211920523
2015,MT,Montana,23.6,-0.10606060606060597
2015,NE,Nebraska,31.4,0.039735099337748325
2015,NV,Nevada,26.7,-0.03610108303249093
2015,NH,New Hampshire,26.3,-0.04014598540145975
2015,NJ,New Jersey,25.6,-0.048327137546468335
2015,NM,New Mexico,28.8,0.014084507042253502
2015,NY,New York,25.0,-0.07407407407407407
2015,NC,North Carolina,30.1,0.013468013468013629
2015,ND,North Dakota,31.0,-0.037267080745341685
2015,OH,Ohio,29.8,-0.0858895705521473
2015,OK,Oklahoma,33.9,0.027272727272727337
2015,OR,Oregon,30.1,0.07885304659498216
2015,PA,Pennsylvania,30.0,-0.0066225165562913135
2015,RI,Rhode Island,26.0,-0.03703703703703709
2015,SC,South Carolina,31.7,-0.012461059190031265
2015,SD,South Dakota,30.4,0.020134228187919323
2015,TN,Tennessee,33.8,0.08333333333333326
2015,TX,Texas,32.4,0.01567398119122254
2015,UT,Utah,24.5,-0.046692607003890996
2015,VT,Vermont,25.1,0.012096774193548487
2015,VA,Virginia,29.2,0.024561403508772006
2015,WA,Washington,26.4,-0.03296703296703307
2015,WV,West Virginia,35.6,-0.0028011204481792618
2015,WI,Wisconsin,30.7,-0.01602564102564108
2015,WY,Wyoming,29.0,-0.016949152542372836
2015,GU,Guam,31.6,0.12857142857142856
2015,PR,Puerto Rico,29.5,0.042402826855123754
2016,US,National,29.6,0.02422145328719738
2016,AL,Alabama,35.7,0.002808988764045006
2016,AK,Alaska,31.4,0.05369127516778516
2016,AZ,Arizona,29.0,0.021126760563380254
2016,AR,Arkansas,35.7,0.034782608695652195
2016,CA,California,25.0,0.03305785123966953
2016,CO,Colorado,22.3,0.10396039603960405
2016,CT,Connecticut,26.0,0.027667984189723382
2016,DE,Delaware,30.7,0.03367003367003374
2016,DC,District of Columbia,22.6,0.02262443438914019
2016,FL,Florida,27.4,0.02238805970149249
2016,GA,Georgia,31.4,0.0228013029315961
2016,HI,Hawaii,23.8,0.04845814977973584
2016,ID,Idaho,27.4,-0.04195804195804209
2016,IL,Illinois,31.6,0.025974025974025983
2016,IN,Indiana,32.5,0.03833865814696491
2016,IA,Iowa,32.0,-0.0031152647975077885
2016,KS,Kansas,31.2,-0.08771929824561409
2016,KY,Kentucky,34.2,-0.011560693641618491
2016,LA,Louisiana,35.5,-0.019337016574585753
2016,ME,Maine,29.9,-0.0033333333333334103
2016,MD,Maryland,29.9,0.03460207612456756
2016,MA,Massachusetts,23.6,-0.028806584362139898
2016,MI,Michigan,32.5,0.04166666666666674
2016,MN,Minnesota,27.8,0.06513409961685812
2016,MS,Mississippi,37.3,0.047752808988763995
2016,MO,Missouri,31.7,-0.021604938271604923
2016,MT,Montana,25.5,0.0805084745762712
2016,NE,Nebraska,32.0,0.019108280254777066
2016,NV,Nevada,25.8,-0.0337078651685393
2016,NH,New Hampshire,26.6,0.011406844106463865
2016,NJ,New Jersey,27.4,0.07031249999999978
2016,NM,New Mexico,28.3,-0.01736111111111116
2016,NY,New York,25.5,0.020000000000000018
2016,NC,North Carolina,31.8,0.056478405315614655
2016,ND,North Dakota,31.9,0.029032258064516148
2016,OH,Ohio,31.5,0.057046979865771785
2016,OK,Oklahoma,32.8,-0.03244837758112096
2016,OR,Oregon,28.7,-0.04651162790697683
2016,PA,Pennsylvania,30.3,0.010000000000000009
2016,RI,Rhode Island,26.6,0.023076923076923217
2016,SC,South Carolina,32.3,0.018927444794952564
2016,SD,South Dakota,29.6,-0.02631578947368407
2016,TN,Tennessee,34.8,0.029585798816567976
2016,TX,Texas,33.7,0.040123456790123635
2016,UT,Utah,25.4,0.03673469387755102
2016,VT,Vermont,27.1,0.07968127490039834
2016,VA,Virginia,29.0,-0.006849315068493178
2016,WA,Washington,28.6,0.08333333333333348
2016,WV,West Virginia,37.7,0.0589887640449438
2016,WI,Wisconsin,30.7,0.0
2016,WY,Wyoming,27.7,-0.04482758620689653
2016,GU,Guam,28.3,-0.10443037974683544
2016,PR,Puerto Rico,30.7,0.04067796610169494
2016,VI,Virgin Islands,32.5,
2017,US,National,30.1,0.016891891891891886
2017,AL,Alabama,36.3,0.01680672268907557
2017,AK,Alaska,34.2,0.0891719745222932
2017,AZ,Arizona,29.5,0.01724137931034475
2017,AR,Arkansas,35.0,-0.019607843137254943
2017,CA,California,25.1,0.0040000000000000036
2017,CO,Colorado,22.6,0.013452914798206317
2017,CT,Connecticut,26.9,0.03461538461538449
2017,DE,Delaware,31.8,0.03583061889250816
2017,DC,District of Columbia,23.0,0.017699115044247815
2017,FL,Florida,28.4,0.03649635036496357
2017,GA,Georgia,31.6,0.006369426751592355
2017,HI,Hawaii,23.8,0.0
2017,ID,Idaho,29.3,0.06934306569343063
2017,IL,Illinois,31.1,-0.015822784810126556
2017,IN,Indiana,33.6,0.03384615384615386
2017,IA,Iowa,36.4,0.13749999999999996
2017,KS,Kansas,32.4,0.03846153846153855
2017,KY,Kentucky,34.3,0.0029239766081869956
2017,LA,Louisiana,36.2,0.019718309859154903
2017,ME,Maine,29.1,-0.026755852842809236
2017,MD,Maryland,31.3,0.04682274247491636
2017,MA,Massachusetts,25.9,0.09745762711864403
2017,MI,Michigan,32.3,-0.006153846153846287
2017,MN,Minnesota,28.4,0.021582733812949506
2017,MS,Mississippi,37.3,0.0
2017,MO,Missouri,32.5,0.025236593059936974
2017,MT,Montana,25.3,-0.007843137254901933
2017,NE,Nebraska,32.8,0.02499999999999991
2017,NV,Nevada,26.7,0.0348837209302324
2017,NH,New Hampshire,28.1,0.0563909774436091
2017,NJ,New Jersey,27.3,-0.0036496350364962904
2017,NM,New Mexico,28.4,0.0035335689045936647
2017,NY,New York,25.7,0.007843137254901933
2017,NC,North Carolina,32.1,0.009433962264151052
2017,ND,North Dakota,33.2,0.040752351097178785
2017,OH,Ohio,33.8,0.07301587301587298
2017,OK,Oklahoma,36.5,0.11280487804878048
2017,OR,Oregon,29.4,0.024390243902439046
2017,PA,Pennsylvania,31.6,0.04290429042904287
2017,RI,Rhode Island,30.0,0.1278195488721805
2017,SC,South Carolina,34.1,0.05572755417956676
2017,SD,South Dakota,31.9,0.07770270270270263
2017,TN,Tennessee,32.8,-0.05747126436781613
2017,TX,Texas,33.0,-0.020771513353115778
2017,UT,Utah,25.3,-0.00393700787401563
2017,VT,Vermont,27.6,0.01845018450184499
2017,VA,Virginia,30.1,0.037931034482758585
2017,WA,Washington,27.7,-0.03146853146853157
2017,WV,West Virginia,38.1,0.010610079575596787
2017,WI,Wisconsin,32.0,0.04234527687296419
2017,WY,Wyoming,28.8,0.03971119133574019
2017,GU,Guam,34.3,0.21201413427561833
2017,PR,Puerto Rico,32.9,0.07166123778501632
2017,VI,Virgin Islands,,0.0
2018,US,National,30.9,0.02657807308970095
2018,AL,Alabama,36.2,-0.0027548209366389242
2018,AK,Alaska,29.5,-0.13742690058479534
2018,AZ,Arizona,29.5,0.0
2018,AR,Arkansas,37.1,0.06000000000000005
2018,CA,California,25.8,0.027888446215139417
2018,CO,Colorado,23.0,0.017699115044247815
2018,CT,Connecticut,27.4,0.018587360594795488
2018,DE,Delaware,33.5,0.05345911949685522
2018,DC,District of Columbia,24.7,0.07391304347826089
2018,FL,Florida,30.7,0.08098591549295775
2018,GA,Georgia,32.5,0.028481012658227778
2018,HI,Hawaii,24.9,0.04621848739495782
2018,ID,Idaho,28.4,-0.03071672354948818
2018,IL,Illinois,31.8,0.022508038585209
2018,IN,Indiana,34.1,0.014880952380952328
2018,IA,Iowa,35.3,-0.030219780219780223
2018,KS,Kansas,34.4,0.06172839506172845
2018,KY,Kentucky,36.6,0.06705539358600587
2018,LA,Louisiana,36.8,0.016574585635358963
2018,ME,Maine,30.4,0.044673539518900185
2018,MD,Maryland,30.9,-0.012779552715655007
2018,MA,Massachusetts,25.7,-0.007722007722007707
2018,MI,Michigan,33.0,0.021671826625387025
2018,MN,Minnesota,30.1,0.059859154929577496
2018,MS,Mississippi,39.5,0.05898123324396787
2018,MO,Missouri,35.0,0.07692307692307687
2018,MT,Montana,26.9,0.06324110671936745
2018,NE,Nebraska,34.1,0.03963414634146356
2018,NV,Nevada,29.5,0.10486891385767794
2018,NH,New Hampshire,29.6,0.053380782918149405
2018,NJ,New Jersey,25.7,-0.05860805860805862
2018,NM,New Mexico,32.3,0.13732394366197176
2018,NY,New York,27.6,0.07392996108949434
2018,NC,North Carolina,33.0,0.028037383177569986
2018,ND,North Dakota,35.1,0.05722891566265065
2018,OH,Ohio,34.0,0.00591715976331364
2018,OK,Oklahoma,34.8,-0.046575342465753455
2018,OR,Oregon,29.9,0.017006802721088343
2018,PA,Pennsylvania,30.9,-0.022151898734177333
2018,RI,Rhode Island,27.7,-0.07666666666666666
2018,SC,South Carolina,34.3,0.00586510263929596
2018,SD,South Dakota,30.1,-0.056426332288401215
2018,TN,Tennessee,34.4,0.04878048780487809
2018,TX,Texas,34.8,0.05454545454545445
2018,UT,Utah,27.8,0.09881422924901195
2018,VT,Vermont,27.5,-0.0036231884057971175
2018,VA,Virginia,30.4,0.009966777408637828
2018,WA,Washington,28.7,0.036101083032491044
2018,WV,West Virginia,39.5,0.03674540682414684
2018,WI,Wisconsin,32.0,0.0
2018,WY,Wyoming,29.0,0.00694444444444442
2018,GU,Guam,29.8,-0.1311953352769678
2018,PR,Puerto Rico,32.9,0.0
2018,VI,Virgin Islands,,0.0
2019,US,National,31.4,0.016181229773462702
2019,AL,Alabama,36.1,-0.002762430939226568
2019,AK,Alaska,30.5,0.03389830508474567
2019,AZ,Arizona,31.4,0.06440677966101682
2019,AR,Arkansas,37.4,0.008086253369272267
2019,CA,California,26.2,0.015503875968992276
2019,CO,Colorado,23.8,0.034782608695652195
